;blade;f_rot;start_idx;end_idx;b0e;b1e;b2e;b0f;b1f;b2f;r2e;r2f;pitch1;pitch2;alpha;gamma1;gamma2;create_time;pitch1_deg;pitch2_deg;alpha_deg;gamma1_deg;gamma2_deg
15;3;0.10498687664041995;23983;33508;7.530928573600984;33.85345177808813;10400.505663422304;-32.83024576182616;273.96875602920693;-1684.9029799915706;0.9987765449868506;0.9249963839632714;0.1229436291715646;-0.16060670281524084;;0.020093578296964298;-0.026344916200134984;20201209_145303;7.044151069552121;-9.202086232825177;;1.1512772317317226;-1.5094525098935647
16;3;0.10539629005059022;28773;38261;-4.44002306969;-40.83820082032085;10441.907479600213;-30.549011953916;295.47400409225725;-1684.2647436039429;0.9990106749526708;0.9217733333668404;-0.1373423744976227;-0.159921161367478;;-0.02424927766293417;-0.02830071523920348;20201209_145303;-7.869138407018971;-9.162807601187078;;-1.3893812663269884;-1.6215115404079314
17;3;0.10633772862611654;33508;42912;47.193400130372986;-99.27030980039613;10569.406651201578;-66.65941790981753;317.03686423418003;-1738.2728578691795;0.9987909094146123;0.9086937410115046;-0.3034488239079916;-0.16300348662710457;;-0.05713967665016826;-0.030000210597383534;20201209_145303;-17.386336908136432;-9.339411829650246;;-3.273862314796859;-1.7188854517337226
0;1;0.2047082906857728;7416;12301;13.368685771549004;123.45207554933879;-17987.343867326235;-48.7054990041389;-1479.0298447943364;6898.204206323435;0.9985144659335481;0.9838584246154467;-0.08327524527347806;-0.36620462436100965;;-0.017897218261556373;-0.08231907952515226;20201211_180310;-4.771320092087049;-20.98197941405954;;-1.0254350714116445;-4.716535830193013
1;1;0.2041649652919559;9851;14749;-43.748737543283006;-155.59231238853056;-17886.729161470386;1.6814404905179439;-1438.3271395416195;6862.161107356151;0.9991223485540972;0.9814107884126949;0.10775686504693384;-0.3663285602162252;;0.02267589538011845;-0.08050000395242857;20201211_180310;6.174013580750088;-20.98908041549374;;1.2992331019609888;-4.6123104772606025
2;1;0.2048760499897562;12301;17182;-102.38110810467816;-275.2260639797588;-17900.973871196395;0.5142894316911225;-1376.6444509334387;6837.076925862332;0.9983956513465646;0.9740240376955788;0.19732373827474672;-0.3648401030143875;;0.040265811447877886;-0.07697933226377406;20201211_180310;11.305817400887051;-20.90379809984259;;2.3070610546329577;-4.410590848449503
3;1;0.2050020500205002;14749;19627;-69.9924364780644;-201.50391355066918;-17934.26813975964;4.866716865976518;-1420.724216194723;6781.501719556578;0.9977834404936458;0.9691165329509505;0.1408921027373292;-0.3615127769264605;;0.029718134010064325;-0.07930150200568077;20201211_180310;8.072522853572556;-20.713156357940594;;1.7027236537808785;-4.543641373973741
4;1;0.20412329046744235;17182;22081;-5.934999080855892;-107.43599217566046;-17934.11054199787;-64.26691183032369;-1332.444387556749;6688.886075677178;0.9974969562065232;0.9669931732644574;0.0804566944759653;-0.3569897999800027;;0.016062556747028934;-0.0743651761641528;20201211_180310;4.609829027046337;-20.454008868073593;;0.9203167097941427;-4.260810736952823
5;1;0.20383204239706482;19627;24533;-5.523513148796173;-164.2064392801056;-17967.16996480486;-0.8512846570691129;-1337.0593831572405;6680.674175892755;0.9975328876247311;0.9605523782225556;0.12219971242551153;-0.3559857329859007;;0.024581797208315992;-0.07448566168850546;20201211_180310;7.001527779694174;-20.39648006696316;;1.4084332328829756;-4.267714048990652
6;1;0.20408163265306123;22081;26981;-24.21832651890025;-250.5081947543;-17978.068547183266;39.58163128765645;-1469.7457609493154;6726.357908664984;0.9977742587330758;0.9657832411911212;0.1688208927838002;-0.3580185993870552;;0.03725138395429204;-0.08184348912746488;20201211_180310;9.672724650142326;-20.512954732063264;;2.1343470816022894;-4.6892865076285775
7;1;0.2038735983690112;24533;29438;-59.52150584349944;-97.53529344017673;-17934.892045054192;2.8961851815756736;-1475.586057778185;6628.596675375617;0.9977988132231647;0.9733592091341202;0.06600334570110226;-0.35402119977420204;;0.014714851142824765;-0.08236770422270512;20201211_180310;3.781713142416105;-20.28392060521955;;0.8430988666471152;-4.719321820142892
8;1;0.2032520325203252;26981;31901;-53.18483798952488;23.21480868341967;-17894.05221310237;-74.00325992997472;-1357.9479895818508;6519.456667135908;0.9982253204968818;0.9694356431347902;-0.017093841369210484;-0.3493892485442619;;-0.003560857741415058;-0.07596126198874976;20201211_180310;-0.9794049661218891;-20.01852934883355;;-0.20402212002956946;-4.3522597184428875
9;1;0.2035002035002035;29438;34352;20.36875533565335;-18.02778957457495;-17916.551203323128;-25.02384049127067;-1397.1833662407332;6488.9969372156775;0.9980010242549169;0.9613895344753137;0.012902235777273544;-0.3474831590037926;;0.0027782125558337986;-0.07806208684211845;20201211_180310;0.7392436563204673;-19.909318462790626;;0.15917985403953022;-4.472628116037104
10;1;0.2042483660130719;31901;36797;-45.0698820643307;22.725441474758405;-18004.60842579861;23.46006478725964;-1557.9692131904721;6478.957192519942;0.9981214175752232;0.9524067353931414;-0.014585544911250076;-0.3454227273405508;;-0.003507584229779637;-0.08664004421753653;20201211_180310;-0.8356901653131442;-19.791264424511752;;-0.20096977265301874;-4.964108870491676
11;1;0.2047082906857728;34352;39237;-59.190087006385944;253.66338149723452;-18052.147029768697;-9.419745129341443;-1606.033871711533;6532.205680229673;0.9984067520823902;0.94767674613285;-0.15664992183782156;-0.347194138896568;;-0.038842496773179774;-0.08908414499905894;20201211_180310;-8.975379382361403;-19.89275883045224;;-2.22551113085372;-5.1041455299775365
12;1;0.2039983680130559;36797;41699;49.33949255960299;432.03729455842847;-17955.636982521937;-52.22895231520819;-1595.6616947781636;6557.444684765975;0.9988064440393075;0.9524494035098882;-0.26441768534339205;-0.35015359470104007;;-0.0659327671881391;-0.08898428045673788;20201211_180310;-15.15001739879457;-20.062323157703982;;-3.7776692914990067;-5.0984237131795345
13;2;0.2047921359819783;6562;11445;-63.246409966083476;59.79495192557741;-15492.94624104234;-38.47498816720697;-1291.3279185885337;5423.102310929771;0.9984731065477779;0.9725979390324512;-0.04627195728869023;-0.33670765967838495;;-0.011026191306836563;-0.08344621876992811;20201211_180310;-2.6511878624515575;-19.291927829298704;;-0.6317542259855727;-4.781116151842232
14;2;0.20445716622367613;8995;13886;-54.113113536807745;-52.25926794840673;-15461.929718818337;-44.467660920207734;-1202.1099508570774;5393.003339470415;0.9987724175805843;0.979002382355737;0.04344559633494835;-0.33559858805578335;;0.00969034924518079;-0.07782497437111531;20201211_180310;2.489249308421578;-19.228382706145904;;0.5552161137566423;-4.4590425721787055
15;2;0.2041649652919559;11445;16343;-51.769950658910105;-304.1185580559736;-15451.128052475346;12.253415921303962;-1092.5185834336112;5362.538476639699;0.9984702018330446;0.9731346384899267;0.27149160471894473;-0.33405731044725884;;0.056742122073049545;-0.07076706616879326;20201211_180310;15.555323123629558;-19.140074004119434;;3.251084115401848;-4.0546542199948865
16;2;0.20512820512820512;13886;18761;-138.18576722396605;-307.9151466860591;-15564.549507276975;-52.975843913029166;-1061.131274305254;5294.406333504549;0.9973254498113069;0.9549683006183661;0.2824200374191179;-0.3278801451864703;;0.05819141469180927;-0.06822908809850822;20201211_180310;16.18147619404224;-18.78614850532142;;3.3341224657362436;-3.909238788070796
17;2;0.2051702913418137;16343;21217;-115.86140383998936;-53.58200137448524;-15611.846370764413;9.854102810134586;-1237.5495124218924;5223.161241617699;0.9969551592725763;0.9424021235037284;0.04326983003488697;-0.3228577147780221;;0.010258718570480663;-0.07935315465857641;20201211_180310;2.4791786412474313;-18.498384440019176;;0.5877812773010231;-4.546600852985315
18;2;0.2037905033625433;18761;23668;-21.93820924275706;25.409162362940044;-15545.299314168813;-28.059992445244298;-1298.588353792859;5216.250919756329;0.9972299247543364;0.9525367884321134;-0.019564260170162603;-0.3237457139049568;;-0.004871173423262452;-0.08363321904896574;20201211_180310;-1.120949537046215;-18.549263042203837;;-0.2790976784292319;-4.7918304785988575
19;2;0.20308692120227456;21217;26141;-91.00459741723807;-230.2235476223537;-15443.184108790127;-51.60721531640953;-1238.325584784415;5173.217942744781;0.9974553175627116;0.9595196958191611;0.18381653409540222;-0.3232353223586609;;0.04451766994452312;-0.0802720771125182;20201211_180310;10.531911608389144;-18.520019760701924;;2.5506746015775685;-4.599251231295985
20;2;0.2038735983690112;23668;28573;-115.95474779150818;-315.74780835062353;-15426.462766493396;-6.0040285962842255;-1115.8975491085605;5138.93131170635;0.9983750089689012;0.9475755034234272;0.2757459507684879;-0.3215625118597897;;0.06148103442615597;-0.07239981292741356;20201211_180310;15.799079196856537;-18.42417477919143;;3.5226037927172564;-4.148203718277495
21;2;0.2039151712887439;26141;31045;-76.4715685306727;-109.12606987930228;-15506.092035508236;36.828732261044166;-1083.0421584087258;5096.044605731127;0.9979462547385781;0.9440011170731597;0.10041992110829934;-0.317527754992147;;0.021415513418502837;-0.06990315146384311;20201211_180310;5.75363765854224;-18.19300023931408;;1.2270185349859943;-4.005155553541953
22;2;0.2037905033625433;28573;33480;-139.27478799846654;23.494973577607105;-15589.426330878923;-17.543039825752654;-1208.1400290959423;5001.809655253681;0.9965961284044605;0.9533482057655606;-0.01944477609607248;-0.3104704385867668;;-0.004697311892885552;-0.07757518467349706;20201211_180310;-1.1141036038818226;-17.788645794597358;;-0.26913614651894996;-4.44473067673933
23;2;0.2039983680130559;31045;35947;-88.71885424288998;115.57057377165839;-15584.968990635403;-31.95428124107238;-1296.646333755541;5031.460768980576;0.9970129404195509;0.9329867633877456;-0.08889546963892395;-0.3122775592763056;;-0.022971606862229033;-0.08329480216734803;20201211_180310;-5.09333522814369;-17.8921861831787;;-1.3161761218394834;-4.772440619566184
24;2;0.2043318348998774;33480;38374;-72.93558246006677;149.10297664227883;-15535.183950987921;-19.94583625843081;-1293.2049541286933;5069.113506607156;0.9977953241527147;0.9336601503369127;-0.11479038837270397;-0.3154062649792556;;-0.029418257271285327;-0.08334006078200477;20201211_180310;-6.577004782423535;-18.07144781529625;;-1.6855419822746949;-4.775033747172625
25;2;0.2045408058907752;35947;40836;-122.11019775208064;355.7782109399369;-15514.648181609235;-7.820267056254762;-1339.93996591129;5022.781483644052;0.9967029735699622;0.9589489578453411;-0.2595297004117812;-0.3130958923344018;;-0.07089227224561259;-0.0864738509748412;20201211_180310;-14.869956491889727;-17.93907321364365;;-4.061827999766025;-4.9545866991016405
26;2;0.20300446609825415;38374;43300;-4.499499876826453;194.7284919181832;-15424.80144192187;-7.249963239699316;-1355.7451201175759;5081.801324689322;0.9963276460785988;0.957068728038203;-0.14265641073915894;-0.31825736918384573;;-0.03832817642124789;-0.08800740921394756;20201211_180310;-8.17361025583856;-18.234804053171263;;-2.19604274537034;-5.042453113839949
27;3;0.20458265139116202;5752;10640;84.20155251287227;46.68091492963158;-17259.498551298613;-76.8769873052536;-455.70015180218525;5493.048911594118;0.9988809400925903;0.972984824656354;-0.10208171553228611;-0.30812592568900893;;-0.008498281660045666;-0.026405930199497052;20201211_180310;-5.8488514654550565;-17.654315100541844;;-0.48691567223404764;-1.512948354548225
28;3;0.2044153720359771;8178;13070;82.43217374559904;-76.97276901332322;-17294.80700156722;-67.6101915972429;-447.2061342054495;5450.331174308099;0.9992068474783429;0.9664657610319112;0.17044912380014926;-0.3052905854378558;;0.014123055177996585;-0.025860709799531763;20201211_180310;9.766015415451424;-17.491862070667207;;0.809191455529588;-1.4817095267257792
29;3;0.20496003279360525;10640;15519;-1.5099685008725303;-157.77659950322868;-17378.531506718842;-75.77242486172838;-357.9344856522498;5399.29970254268;0.9991934857124253;0.9640751805731284;0.4151747618901663;-0.3012331493937612;;0.02922583876422616;-0.020597816156823812;20201211_180310;23.787761616655423;-17.25938810969633;;1.6745172139199964;-1.1801679329723818
30;3;0.2045408058907752;13070;17959;-17.27924710451842;-259.1352400537872;-17353.8354988579;-20.285370997717877;-471.1841353670661;5316.873309429195;0.9991580054198215;0.9626290333436119;0.5028170838697527;-0.2972999523556073;;0.04875759253115985;-0.027154921925370775;20201211_180310;28.80929677281237;-17.034032519416755;;2.793604271254044;-1.5558624193310089
31;3;0.2045408058907752;15519;20408;1.1806653164723087;-256.39053432062167;-17342.68000083844;-40.13647634104895;-467.97224665452336;5277.636856323565;0.998199624506952;0.946368280332443;0.5012106631231541;-0.2954107509681351;;0.0485996855247316;-0.02698712401251315;20201211_180310;28.71725564391002;-16.92578925326434;;2.7845568662301603;-1.5462483071131632
32;3;0.20458265139116202;17959;22847;32.26915692869126;-73.69443899178395;-17392.76755284019;12.834163436034789;-378.0620697134384;5305.98167445907;0.9970931220395224;0.9337177201036623;0.19251278227074387;-0.29610008173578123;;0.01388938240394197;-0.021738452284518765;20201211_180310;11.030169926434565;-16.965284996938976;;0.7958029917891444;-1.2455215690494479
33;3;0.2038735983690112;20408;25313;62.778425100818865;-86.64918227774223;-17376.993010140555;-48.260930259801086;-453.78177959549066;5253.491936470236;0.9971995688542095;0.9542889802349653;0.18867773279615635;-0.29358806054430076;;0.01649438363679803;-0.02611691046505728;20201211_180310;10.810437777316837;-16.82135678461972;;0.9450585680581728;-1.4963887435688343
34;3;0.20341741253051263;22847;27763;37.835097500588034;-207.91325061806896;-17347.22652155978;-37.999197823223085;-456.5845769406171;5169.056023231475;0.9976401643926426;0.9658518260272447;0.4273076108723007;-0.28959882018811933;;0.04023352679468872;-0.02632336125992852;20201211_180310;24.482922656801318;-16.59279014874726;;2.3052112802621747;-1.5082175027920772
35;3;0.2037905033625433;25313;30220;-33.33950525466946;-227.68005115814822;-17430.06566375298;-82.73858021098502;-327.95650393307926;5128.197071227644;0.9974760195114318;0.9341280610695223;0.6068487512488011;-0.2861415852258669;;0.04441227845964586;-0.018816673681379084;20201211_180310;34.76987224934065;-16.394705176625123;;2.544636114297485;-1.078115986417915
36;3;0.2041649652919559;27763;32661;33.18461256842872;-2.6972504969326776;-17455.13379638546;-44.50165287488271;-533.9062599068747;5112.617783496072;0.9968871193733897;0.9104639140480506;0.005051874745690221;-0.2849308518816558;;0.0005275674294995021;-0.030592119987891745;20201211_180310;0.2894511015567757;-16.325335265886068;;0.030227387118887075;-1.752799361664004
37;3;0.20383204239706482;30220;35126;47.9657032680882;158.28321760182632;-17364.499474126664;6.735463336623914;-653.1593464794896;5089.2328995540865;0.9965904456710422;0.9148057893748345;-0.23775141620975557;-0.28509854920460626;;-0.031106602893287944;-0.03762351268491658;20201211_180310;-13.622152722077223;-16.33494361472677;;-1.7822770607748346;-2.1556684873026364
38;3;0.20366598778004075;32661;37571;13.80617244386293;153.26831282817795;-17346.6279292029;-46.78437317802755;-530.6613521377818;4999.586803286674;0.9963864717633644;0.928887006514301;-0.2811733164102546;-0.28061162330000006;;-0.030660999799565717;-0.03059638788632188;20201211_180310;-16.11004434200408;-16.077861697404916;;-1.7567458841665786;-1.7530438942314412
39;3;0.2039151712887439;35126;40030;2.0069667897757717;138.1105601445401;-17419.229850681542;-43.52063910439422;-532.5593946135405;5061.238555397045;0.9970391462144673;0.93628487807883;-0.25374378010430726;-0.2827689856743766;;-0.02729128543834279;-0.030577838349428572;20201211_180310;-14.538447677672433;-16.201469456337016;;-1.5636754731038829;-1.7519810840555325
40;3;0.20458265139116202;37571;42459;51.301893650562405;186.49273401042583;-17529.643766135465;-66.82380865457938;-573.6970748203398;5218.2723984315235;0.9977811499318434;0.953118059480664;-0.3142968277070769;-0.28932951491818687;;-0.035746017404646294;-0.03273309736238155;20201211_180310;-18.007881741965903;-16.577360093379497;;-2.0480959316874174;-1.8754683292552699
